,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
985,986,000059,国联安中证医药100A,2021-11-12,1.3302,1.8902,0.24,1.33,-1.77,-4.84,-7.24,-1.44,39.84,62.89,-1.85,104.10,-2.0688,0.12%
986,987,090012,大成深证成长40ETF联接,2021-11-12,1.4380,1.4380,0,-0.28,3.30,-6.20,-7.35,-1.64,56.99,99.45,-6.14,43.80,-0.9642,0.12%
987,988,007397,华宝沪港深中国增强(LOF)C,2021-11-15,0.8714,0.8714,-1.08,1.21,-4.68,-4.14,-7.36,-0.63,-7.91,,1.86,-11.82,-0.3056,0.00%
988,989,070023,嘉实深证基本面120联接A,2021-11-12,2.3276,2.3276,-0.73,2.05,-3.50,-4.15,-7.37,-3.54,26.18,62.72,-5.64,132.76,-4.2376,0.12%
989,990,001594,天弘中证银行ETF联接A,2021-11-12,1.2733,1.2733,-0.34,1.44,-1.85,0.18,-7.41,3.33,2.44,21.24,1.47,27.33,4.7380,0.10%
990,991,006569,国联安中证医药100C,2021-11-12,1.3540,1.3540,0.24,1.32,-1.80,-4.93,-7.42,-1.84,38.74,61.54,-2.19,77.74,-2.4566,0.00%
991,992,009479,中银中证100ETF联接A,2021-11-15,0.9359,0.9359,0.16,0.62,-2.06,-0.50,-7.48,-6.42,,,-9.97,-6.41,-6.5880,0.12%
992,993,164508,国富中证100指数增强(LOF),2021-11-15,1.3580,1.4810,0.15,0.67,-2.44,-0.73,-7.49,-2.72,25.69,62.08,-9.71,55.47,-3.7615,0.12%
993,994,001595,天弘中证银行ETF联接C,2021-11-12,1.2547,1.2547,-0.34,1.44,-1.86,0.13,-7.50,3.12,2.03,20.52,1.29,25.47,4.5322,0.00%
994,995,009480,中银中证100ETF联接C,2021-11-15,0.9349,0.9349,0.16,0.61,-2.08,-0.53,-7.54,-6.52,,,-10.05,-6.51,-6.6880,0.00%
995,996,005998,嘉实深证基本面120联接C,2021-11-12,1.4391,1.4391,-0.73,2.04,-3.53,-4.25,-7.55,-3.92,25.18,62.67,-5.96,42.91,-4.6133,0.00%
996,997,000248,汇添富中证主要消费ETF联接A,2021-11-15,3.0957,3.0957,0.75,-1.40,0.09,5.58,-7.59,2.17,53.33,151.07,-9.14,209.57,-0.6981,0.10%
997,998,020021,国泰上证180金融ETF联接,2021-11-15,1.1502,1.6802,0.11,1.58,-0.80,0.81,-7.61,-5.79,-2.53,12.52,-8.97,77,-6.8586,0.12%
998,999,008519,中金中证沪港深优选消费50指数A,2021-11-15,1.3810,1.3810,0.24,0.60,-1.60,-0.17,-7.69,-0.68,,,-10.06,38.10,-1.9570,0.10%
999,1000,005813,华安CES港股通ETF联接A,2021-11-15,1.0122,1.0122,0.12,2.59,-0.46,-3.74,-7.70,-5.65,5.64,8.92,-7.91,1.22,-6.6482,0.12%
1000,1001,007153,汇添富中证银行ETF联接A,2021-11-15,1.0747,1.0747,0.53,2.42,-0.96,0.62,-7.73,6,2.61,,1.91,7.47,4.9892,0.10%
1001,1002,007154,汇添富中证银行ETF联接C,2021-11-15,1.0727,1.0727,0.53,2.42,-0.97,0.59,-7.76,5.89,2.42,,1.82,7.27,4.8855,0.00%
