,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
79,80,009225,天弘中证中美互联网(QDII)A,2021-11-12,1.1581,1.1581,1.52,2.81,3.82,1.31,0.91,-0.89,,,-5.03,15.81,-3.1203,0.10%
80,81,320013,诺安全球黄金,2021-11-12,1.0330,1.1180,0,2.68,4.66,4.45,0.78,-5.66,12.65,33.81,-4.44,11.79,-5.7482,0.08%
81,82,009226,天弘中证中美互联网(QDII)C,2021-11-12,1.1535,1.1535,1.51,2.81,3.80,1.24,0.78,-1.17,,,-5.26,15.35,-3.3839,0.00%
82,83,164701,汇添富黄金及贵金属,2021-11-12,0.7730,0.7730,0,2.52,4.88,4.32,0.65,-5.85,12.03,32.59,-5.62,-22.70,-6.0753,0.08%
83,84,160719,嘉实黄金,2021-11-11,0.9010,0.9010,0.67,3.92,5.01,4.40,0,-4.96,11.37,31.15,-4.86,-9.90,,0.08%
84,85,539003,建信富时100指数(QDII)人民币A,2021-11-12,0.8522,0.8842,-1.07,-0.22,0.27,-1.22,-0.08,15.04,-4.57,-2.61,12.34,-12.05,13.9457,0.12%
85,86,007360,易方达中短期美元债(QDII)A人民币,2021-11-12,1.0118,1.0118,0.46,0.12,-0.74,-1.80,-0.09,-1.65,-2.35,,-0.73,1.18,-1.3648,0.05%
86,87,007361,易方达中短期美元债(QDII)C人民币,2021-11-12,1.0048,1.0048,0.46,0.11,-0.76,-1.87,-0.25,-1.96,-2.93,,-0.99,0.48,-1.6637,0.00%
87,88,008706,建信富时100指数(QDII)人民币C,2021-11-12,0.8497,0.8497,-1.07,-0.23,0.22,-1.32,-0.28,14.61,,,11.98,-5.98,13.5355,0.00%
88,89,001061,华夏收益债券(QDII)A,2021-11-12,1.2740,1.4760,3.41,3.24,0.24,-2.82,-0.62,1.03,-4.85,4.12,-1.32,50.67,0.7911,0.08%
89,90,010343,华宝富时100(QDII)A,2021-11-12,1.0819,1.0819,-0.91,-0.22,0.62,-2.51,-0.73,8.19,,,8.91,8.19,,0.12%
90,91,007455,富国蓝筹精选股票(QDII)人民币,2021-11-12,2.3187,2.3187,0.64,4,8.43,-3.54,-0.75,14.19,102.56,,0.92,131.87,12.1337,0.15%
91,92,001063,华夏收益债券(QDII)C,2021-11-12,1.2330,1.4280,3.35,3.27,0.24,-2.91,-0.80,0.65,-5.59,2.90,-1.67,45.40,0.4071,0.00%
92,93,000934,国富大中华精选混合,2021-11-12,2.6490,2.6490,0.72,2,1.77,-3.29,-0.82,9.19,80.57,125.83,3.40,164.90,7.6392,0.15%
93,94,460010,华泰柏瑞亚洲领导企业混合,2021-11-12,1.61,1.61,2.81,10.96,3.40,-0.74,-0.86,6.20,75,87.86,-4.05,61,5.5046,0.16%
94,95,010344,华宝富时100(QDII)C,2021-11-12,1.0774,1.0774,-0.91,-0.23,0.60,-2.60,-0.94,7.74,,,8.51,7.74,,0.00%
95,96,008253,华宝致远混合(QDII)A,2021-11-12,1.2419,1.2419,0.69,0.83,3.63,-5.77,-1.15,3.35,,,-7.74,24.19,1.3630,0.15%
96,97,003385,工银全球美元债A人民币,2021-11-11,1.0212,1.0212,0.31,-0.28,-1.51,-2.38,-1.19,-3.69,-5.53,0.46,-2.44,2.12,,0.08%
97,98,008254,华宝致远混合(QDII)C,2021-11-12,1.2324,1.2324,0.69,0.83,3.60,-5.86,-1.33,2.97,,,-8.04,23.24,0.9998,0.00%
98,99,003387,工银全球美元债C,2021-11-11,1.0064,1.0064,0.31,-0.30,-1.55,-2.48,-1.39,-4.07,-6.30,-0.30,-2.77,0.64,,0.00%
99,100,000614,华安德国(DAX)联接(QDII),2021-11-12,1.4140,1.4140,-0.42,-0.49,4.43,-3.22,-1.53,11.96,17.34,30.68,4.20,41.40,10.9890,0.12%
100,101,378546,上投摩根全球天然资源混合,2021-11-11,0.8038,0.8038,1.57,1.73,0.26,2.11,-1.82,31.15,13.53,15.32,17.91,-19.62,,0.16%
101,102,002286,中银美元债债券人民币,2021-11-12,1.1250,1.1250,0.36,0.09,-0.53,-3.10,-2.09,-4.09,-5.94,0.81,-3.02,12.50,-3.8462,0.08%
102,103,002426,华安全球美元票息债人民币A,2021-11-12,1.0760,1.0760,0.47,0,-0.09,-3.24,-2.18,-5.03,-8.11,-0.83,-4.44,7.60,-4.6099,0.08%
103,104,001984,上投摩根中国生物医药(QDII),2021-11-11,2.2723,2.2723,1.11,2.39,-4.67,-11.10,-2.26,9.86,64.93,110.66,-0.09,97.81,,0.15%
104,105,002429,华安全球美元票息债C,2021-11-12,1.0490,1.0490,0.48,0,-0.10,-3.32,-2.42,-5.50,-8.86,-2.05,-4.81,4.90,-5.0679,0.00%
105,106,161116,易方达黄金主题人民币A,2021-11-12,0.8080,0.8080,0.12,5.07,8.17,6.60,-2.42,-9.01,4.26,16.76,-6.26,-19.20,-9.6197,0.10%
106,107,002391,华安全球美元收益债人民币A,2021-11-12,1.0950,1.0950,0.46,0,-0.18,-3.35,-2.49,-5.44,-7.83,-0.64,-4.62,9.50,-5.0304,0.08%
107,108,007976,易方达黄金主题人民币C,2021-11-12,0.8060,0.8060,0.12,5.08,8.19,6.47,-2.54,-9.23,4,,-6.39,0,-9.7424,0.00%
108,109,002393,华安全球美元收益债C,2021-11-12,1.07,1.07,0.47,0,-0.09,-3.43,-2.64,-5.73,-8.47,-1.74,-4.89,7,-5.3097,0.00%
109,110,008095,中银亚太精选债券(QDII)人民币A,2021-11-12,0.9639,0.9639,0.23,-0.10,-0.55,-3.63,-2.65,-2.94,,,-2.97,-3.61,-2.8620,0.08%
110,111,008096,中银亚太精选债券(QDII)人民币C,2021-11-12,0.9587,0.9587,0.22,-0.11,-0.58,-3.71,-2.83,-3.32,,,-3.29,-4.13,-3.2300,0.00%
111,112,165510,信诚四国配置,2021-11-12,0.7790,0.7790,-0.13,2.10,0.52,-2.01,-2.87,0.39,3.87,10.50,-4.30,-22.10,-1.6414,0.16%
112,113,080006,长盛环球行业混合(QDII),2021-11-12,1.6340,1.6840,1.49,4.68,4.14,-3.03,-3.03,5.08,27.26,35.94,-3.88,71.19,3.2217,0.15%
113,114,000342,嘉实新兴市场A1(QDII),2021-11-11,1.2360,1.5040,0.32,0.08,-1.98,-5.86,-3.51,-2.98,-9.25,2.06,-5.43,56.72,,0.08%
114,115,100050,富国全球债券(QDII),2021-11-12,1.1615,1.1615,2.12,1.18,-0.17,-3.84,-3.55,-3.98,-0.93,5.02,-4.58,16.15,-4.0321,0.08%
115,116,377016,上投摩根亚太优势混合,2021-11-11,1.0036,1.0036,0.05,0.18,0.23,-3.71,-4.33,3.46,24.67,40.56,-8.43,0.36,,0.18%
116,117,007628,南方全球债券(QDII)人民币A,2021-11-12,0.8973,0.8973,4.35,2.94,1.23,-5.41,-5.14,-4.22,-10.47,,-4.83,-10.27,-4.2880,0.08%
117,118,008367,富国亚洲收益债券(QDII)人民币,2021-11-12,0.9579,0.9579,2.53,1.49,0.16,-5.46,-5.17,-5.08,,,-5.56,-4.21,-5.1020,0.08%
118,119,378006,上投摩根全球新兴市场混合,2021-11-11,1.2486,1.2486,0.60,0.84,-0.10,-5.39,-5.27,2.18,19.83,31.57,-9.96,24.86,,0.16%
119,120,007629,南方全球债券(QDII)人民币C,2021-11-12,0.8890,0.8890,4.34,2.93,1.18,-5.51,-5.32,-4.58,-11.22,,-5.14,-11.10,-4.6547,0.00%
120,121,161124,易方达香港小型股指数A,2021-11-15,1.2621,1.2621,-0.56,2.84,0.48,-7.18,-5.93,8.58,16.80,18.43,0.31,26.21,8.7855,0.12%
121,122,006263,易方达香港小型股指数C,2021-11-15,1.2560,1.2560,-0.57,2.82,0.46,-7.21,-6,8.44,16.63,17.93,0.22,10.72,8.6717,0.00%
122,123,050030,博时亚洲票息收益债券,2021-11-12,1.3704,1.5129,0.71,0.36,-2.01,-6.19,-6.06,-6.89,-5.58,4.71,-8.18,56.32,-6.8768,0.08%
123,124,161620,融通核心价值混合,2021-11-11,1.0436,1.0436,1.18,-1.60,5.38,-3.19,-6.17,7.23,50.27,39.71,-4.48,4.36,,0.15%
124,125,002400,南方亚洲美元债人民币A,2021-11-12,1.0446,1.0646,3.29,2.08,0.33,-6.26,-6.38,-6.70,-12.33,-5.87,-6.37,6.21,-6.5235,0.08%
125,126,006308,汇添富全球消费混合人民币A,2021-11-12,2.3788,2.3788,0.66,2.13,3.53,-4.12,-6.48,-5.23,69.48,137.62,-14.95,137.88,-7.1615,0.16%
126,127,005243,融通中国概念债券,2021-11-11,1.0697,1.1297,0.22,-1.53,-3.97,-7.18,-6.51,-7.91,-5.47,2.98,-8.71,12.50,,0.08%
127,128,002401,南方亚洲美元债人民币C,2021-11-12,1.0148,1.0348,3.29,2.07,0.28,-6.40,-6.64,-7.20,-13.23,-7.31,-6.81,3.21,-7.0185,0.00%
128,129,100061,富国中国中小盘混合(QDII)人民币,2021-11-12,2.6320,3.1670,0.46,1.94,1.46,-7.88,-6.93,5.24,52.49,65.52,-3.41,249.86,2.9331,0.15%
129,130,006309,汇添富全球消费混合人民币C,2021-11-12,2.3020,2.3020,0.66,2.12,3.44,-4.37,-6.95,-6.17,66.08,130.25,-15.68,130.20,-8.0744,0.00%
130,131,519602,海富通大中华混合(QDII),2021-11-12,1.4420,1.4420,0.91,8.18,5.10,-4.25,-6.97,1.84,20.07,35.53,-6,44.20,1.3352,0.15%
131,132,004419,汇添富美元债债券人民币A,2021-11-12,0.9964,0.9964,0.53,-0.75,-1.99,-7.29,-7.27,-9.28,-10.64,-0.13,-9.29,-0.36,-8.9713,0.08%
132,133,519601,海富通中国海外混合,2021-11-12,2.2040,2.4740,0.87,7.41,4.45,-5.20,-7.36,2.46,17.86,32.61,-6.41,170.25,1.8955,0.15%
133,134,004420,汇添富美元债债券人民币C,2021-11-12,0.9835,0.9835,0.52,-0.77,-2.03,-7.39,-7.46,-9.65,-11.28,-1.25,-9.60,-1.65,-9.3381,0.00%
134,135,501300,海富通全球收益债券人民币,2021-11-12,0.9597,0.9597,4.86,2.95,0.39,-8.40,-7.53,-8.73,-11.06,-3.46,-8.26,-4.21,-8.4605,0.08%
135,136,501021,华宝香港中小(QDII-LOF)A,2021-11-15,1.6202,1.6202,-0.75,2.79,-3.03,-10.16,-7.65,0.53,13.07,25.20,-6.96,62.02,0.6473,0.10%
136,137,000948,华夏沪港通恒生ETF联接A,2021-11-12,1.1732,1.1732,0.30,1.79,0.88,-3.97,-7.67,-3.47,-7.10,0.11,-6.26,17.32,-4.1503,0.12%
137,138,006127,华宝香港中小C,2021-11-15,1.6017,1.6017,-0.76,2.79,-3.06,-10.23,-7.81,0.16,12.27,23.89,-7.25,8.74,0.2796,0.00%
