,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
311,312,004997,广发高端制造股票A,2021-11-15,3.1799,3.1799,-2.31,-1.02,1.05,1.03,15.97,26.58,220.01,324.72,20.27,217.96,28.5229,0.15%
312,313,009726,招商中证500等权重指数增强A,2021-11-15,1.2444,1.2444,0.27,3.54,-0.50,-0.19,15.96,,,,22.53,24.44,24.11,0.15%
313,314,010202,天弘中证科技100指数增强A,2021-11-15,1.2792,1.2792,-0.71,1.41,3.60,2.07,15.87,28.93,,,17.75,27.92,30.2335,0.15%
314,315,007794,申万菱信中证500指数优选增强C,2021-11-12,1.8533,1.8533,0.17,1.76,2.42,1.18,15.79,23.01,74.53,,19.66,85.33,22.1124,0.00%
315,316,160626,鹏华信息A,2021-11-12,1.1150,2.0260,0.36,2.20,9.42,-0.62,15.78,2.48,50.35,105.19,4.60,144.73,3.4323,0.12%
316,317,001617,天弘中证电子ETF联接A,2021-11-15,1.6202,1.6202,-0.27,3.28,6.66,-0.83,15.77,8.61,64.20,125.50,8.54,62.02,10.0603,0.10%
317,318,502053,长盛中证全指证券指数(LOF),2021-11-12,1.0772,1.0772,-0.35,3.91,1.20,5.67,15.75,1.93,37.98,65.06,-2.07,21.60,2.2150,0.12%
318,319,010160,广发高端制造股票C,2021-11-15,3.1662,3.1662,-2.31,-1.03,1.02,0.93,15.73,26.08,,,19.86,44.63,28.0157,0.00%
319,320,010203,天弘中证科技100指数增强C,2021-11-15,1.2752,1.2752,-0.72,1.41,3.57,1.99,15.70,28.54,,,17.44,27.52,29.8554,0.00%
320,321,012040,鹏华信息C,2021-11-12,1.15,1.15,0.35,2.22,9.42,-0.69,15.69,,,,,15,15,0.00%
321,322,001618,天弘中证电子ETF联接C,2021-11-15,1.5966,1.5966,-0.27,3.27,6.64,-0.89,15.65,8.39,63.55,124.12,8.35,59.66,9.8381,0.00%
322,323,008295,朱雀企业优胜C,2021-11-15,1.7325,1.7325,-0.37,2.32,5.90,2.57,15.60,28.82,,,10.51,73.25,28.4364,0.00%
323,324,007903,长城量化小盘股票,2021-11-15,1.3882,1.3882,-0.13,3.84,2.32,1.49,15.51,14.24,,,18.56,38.81,13.7107,0.15%
324,325,009727,招商中证500等权重指数增强C,2021-11-15,1.2356,1.2356,0.26,3.53,-0.56,-0.40,15.51,,,,21.69,23.56,23.24,0.00%
325,326,005873,建信创业板ETF联接A,2021-11-12,2.1267,2.1267,-0.06,2.12,8.41,1.22,15.43,27.61,104.14,145.63,17.19,112.67,27.1038,0.15%
326,327,002656,南方创业板ETF联接A,2021-11-12,1.6715,1.6715,-0.08,2.19,8.79,1.31,15.41,26.91,103.54,148.59,15.90,67.15,26.3607,0.12%
327,328,161613,融通创业板指数A,2021-11-12,1.5660,2.8780,-0.06,2.42,9.05,0.84,15.40,25.23,100.12,144.79,13.49,289.25,24.7475,0.12%
328,329,007784,广发央企创新驱动ETF联接A,2021-11-15,1.4196,1.4196,-0.69,0.95,-0.03,3.64,15.37,24.30,42.13,,19.08,41.96,23.0332,0.12%
329,330,007785,广发央企创新驱动ETF联接C,2021-11-15,1.4167,1.4167,-0.68,0.95,-0.03,3.62,15.32,24.18,41.85,,18.99,41.67,22.9125,0.00%
