,基金代码,基金简称,2021-12-06-单位净值,2021-12-06-累计净值,2021-12-03-单位净值,2021-12-03-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
48,013276,富国中证全指证券公司指数(LOF)C,1.0880,1.0880,1.0750,1.0750,0.0130,1.21,开放申购,开放赎回,0.00%
49,010696,工银金融地产混合C,2.6110,2.6110,2.58,2.58,0.0310,1.20,开放申购,开放赎回,0.00%
50,012605,东财证券保险A,1.0397,1.0397,1.0275,1.0275,0.0122,1.19,开放申购,开放赎回,0.12%
51,012645,建信中证全指证券公司ETF联接A,0.9749,0.9749,0.9634,0.9634,0.0115,1.19,开放申购,开放赎回,0.15%
52,000251,工银金融地产混合A,2.6550,3.6990,2.6240,3.6680,0.0310,1.18,开放申购,开放赎回,0.15%
53,006216,前海开源价值成长混合A,1.57,1.83,1.5517,1.8117,0.0183,1.18,开放申购,开放赎回,0.15%
54,006217,前海开源价值成长混合C,1.5645,1.8245,1.5463,1.8063,0.0182,1.18,开放申购,开放赎回,0.00%
55,012606,东财证券保险C,1.0381,1.0381,1.0260,1.0260,0.0121,1.18,开放申购,开放赎回,0.00%
56,257030,国联安优势混合,1.0280,2.6620,1.0160,2.65,0.0120,1.18,开放申购,开放赎回,0.15%
57,012646,建信中证全指证券公司ETF联接C,0.9739,0.9739,0.9625,0.9625,0.0114,1.18,开放申购,开放赎回,0.00%
58,011994,国联安核心优势混合,0.9846,0.9846,0.9732,0.9732,0.0114,1.17,开放申购,开放赎回,0.15%
59,008188,前海开源稳健增长三年混合,1.0276,1.0276,1.0158,1.0158,0.0118,1.16,开放申购,暂停赎回,0.15%
60,005711,永赢惠添利灵活配置混合,1.8527,2.0127,1.8317,1.9917,0.0210,1.15,开放申购,开放赎回,0.15%
61,001552,天弘中证证券保险A,0.9806,0.9806,0.9695,0.9695,0.0111,1.14,开放申购,开放赎回,0.10%
62,001553,天弘中证证券保险C,0.9664,0.9664,0.9555,0.9555,0.0109,1.14,开放申购,开放赎回,0.00%
63,011287,前海开源聚慧三年持有混合,0.9482,0.9482,0.9375,0.9375,0.0107,1.14,开放申购,暂停赎回,0.15%
64,000950,易方达沪深300非银联接A,0.9871,0.9871,0.9761,0.9761,0.0110,1.13,开放申购,开放赎回,0.10%
65,007882,易方达沪深300非银联接C,0.9847,0.9847,0.9737,0.9737,0.0110,1.13,开放申购,开放赎回,0.00%
66,001178,前海开源再融资股票,1.4520,2.0320,1.4360,2.0160,0.0160,1.11,开放申购,开放赎回,0.15%
67,160625,鹏华证券保险指数(LOF),0.8310,1.8910,0.8220,1.8860,0.0090,1.09,开放申购,开放赎回,0.12%
68,005445,华宝价值发现混合,1.5793,1.5793,1.5628,1.5628,0.0165,1.06,开放申购,开放赎回,0.15%
69,240005,华宝多策略增长开放,0.5287,4.9784,0.5232,4.9658,0.0055,1.05,限大额,开放赎回,0.15%
